;; 漢字入力方式 「葦手入力」
;; http://ashide.s1007.xrea.com/
;;
;; 葦手入力 第三版初訂 を変換したSKK辞書です。
;; http://ashide.s1007.xrea.com/files/ashide003-1.txt
;;
;; IME用葦手入力辞書(Japanese IME dictionary of Ashide Input)
;; Made by Haruakira NAKAYAMA in Japan
;; Version 3.1 in 2018年7月3日
;;
;; 利用・改変・再配布は自由です。
;;
;; okuri-ari entries.
;; okuri-nasi entries.
あ /了/
あああ /刕/
ああしろ /屙/
ああた /脋/
ああへへ /孱/
あいせ /坠/
あいよつ /鳭/鳲/
あいよつぁ /鳭/
あいよつぃ /鳲/
あうは /屄/
あえこ /函/
あきあ /劈/
あきあへ /孹/
あきいもそ /鐾/
あきいよつ /鷿/
あきせ /壁/
あきそほ /糪/
あきた /臂/
あきのお /擘/
あきふろ /礕/
あきへるん /甓/
あきほ /檗/
あきもん /璧/
あきや /幦/
あきゆにろ /譬/
あきゆのむ /襞/
あきるは /憵/
あきれな /嬖/
あきれむつ /繴/
あきろ /居/
あきろとい /躄/
あきわしよ /鼊/
あくせ /埅/
あこいよつ /鶌/
あこき /屇/
あここな /屢/
あこには /屓/
あこはは /屭/
あこふこは /顄/
あこるん /兔/
あさか /勐/
あさきき /羼/
あさきし /遅/
あささ /屏/屛/
あささぁ /屏/
あささぃ /屛/
あさむ /展/
あされ /屉/
あされほ /屟/
あし /辺/辽/迉/阝/
あしぁ /辺/
あしあろき /隦/
あしぃ /辽/
あしい /队/阱/
あしいぁ /队/
あしいぃ /阱/
あしいこつ /隖/
あしいては /除/
あしいなん /附/
あしいまむ /隂/
あしいゆへ /陮/
あしいよつ /隝/
あしいり /阶/
あしぅ /迉/
あしうにる /院/
あしうひ /陀/
あしぇ /阝/
あしえき /犀/
あしえむ /屬/
あしおのな /隇/
あしか /阞/
あしきこ /陆/
あしきさは /隫/
あしきし /遲/
あしきた /陠/
あしきよ /陣/
あしくしよ /陥/
あしくそほ /陱/
あしくふせ /陒/
あしくへい /降/
あしくへへ /隆/
あしくもを /陷/
あしくゆこ /陶/
あしくよは /隐/
あしけあ /阾/
あしけこい /険/
あしけたれ /隃/
あしけつへ /险/
あしけふむ /陰/
あしけろい /險/
あしけわさ /陯/
あしこきむ /隈/
あしこゆは /隤/
あしさくれ /隊/
あしさはさ /隘/
あしさよは /隒/
あしされし /隧/
あしすいい /陜/陝/
あしすいいぁ /陜/
あしすいいぃ /陝/
あしすえ /陉/
あしすさ /陕/
あしすにく /陓/
あしすまろ /陭/
あしすわ /陃/
あしすわれ /陋/
あしせくめ /隞/
あしせせる /隢/
あしせとい /陡/
あしせのよ /陼/
あしせふん /隯/
あしせむ /阹/
あしせるせ /陸/
あしせるへ /陵/
あしそい /阦/
あしそほい /隣/
あした /阴/
あしたえは /隱/
あしたた /陊/
あしたへ /阻/
あしたまつ /際/
あしたよは /隠/
あしち /阡/
あしちさへ /陲/
あしちよに /隀/
あしつた /陗/
あしつのつ /隲/
あしつよつ /隙/
あしつよほ /隟/
あしつわせ /隚/
あしとさお /隵/
あしとゆ /阯/
あしとゆの /陟/
あしとろ /阽/
あしなええ /隓/
あしなえた /隋/
あしなき /阵/
あしなせ /陇/
あしなた /陏/
あしなたし /随/隨/
あしなたしぁ /随/
あしなたしぃ /隨/
あしなほ /陈/
あしにつ /际/
あしにる /阮/
あしのあれ /阸/
あしのきい /陎/
あしのきむ /隗/
あしのさ /阩/
あしのさせ /陞/
あしのさよ /陹/
あしのなき /陴/
あしのふれ /阥/
あしのほす /隩/
あしのよも /隍/
あしひすい /陿/
あしひせへ /阺/
あしひひ /阰/
あしひひせ /陛/
あしひひよ /階/
あしひよな /隁/
あしふせ /阨/
あしふと /阫/
あしふにむ /陙/
あしふぬ /阪/
あしふよ /陌/
あしふりす /陾/
あしふろ /屫/
あしふわり /陑/
あしへえり /隭/
あしへこせ /陻/
あしへせゆ /陚/
あしへつえ /陘/
あしへとゆ /阷/
あしへはめ /隬/
あしへみぬ /陬/
あしへる /阢/
あしへろま /隔/
あしほよ /陳/
あしほよめ /敶/
あしまろ /阿/
あしみのん /陦/
あしむる /阭/
あしむるへ /陖/
あしもをせ /隉/
あしやのぬ /陂/
あしやれ /阤/
あしゆく /防/
あしゆさき /障/
あしゆさよ /隌/
あしゆさろ /陪/
あしゆたみ /隴/
あしゆひ /阼/
あしゆへに /隮/
あしゆめへ /隡/
あしゆやれ /陁/
あしゆる /阬/
あしゆれ /阣/
あしゆれい /陔/
あしよ /阳/
あしよせ /陧/
あしよへい /隄/
あしよへに /陽/
あしよむ /限/
あしよれつ /隰/
あしよわむ /隅/
あしりみみ /陫/
あしれき /阠/
あしれむつ /綤/
あしろこは /隕/
あしろわい /陨/
あしをしさ /隥/
あしをへさ /隑/
あしんき /阧/
あすそつ /屪/
あせこ /屆/
あせのよ /屠/
あせり /剭/
あそこよ /層/
あそほ /屎/
あそほな /屡/
あたいのつ /隳/
あたせ /堕/墮/
あたせぁ /堕/
あたせぃ /墮/
あたを /嶞/
あつた /屑/
あつなん /尉/
あつぬ /叞/
あつるは /愻/
あにむ /层/
あぬ /及/
あぬせ /壂/
あぬた /臀/
あぬつ /焏/
あぬわいい /臋/
あのいい /屣/
あのいな /屦/屨/
あのいなぁ /屦/
あのいなぃ /屨/
あのいぬ /屐/
あのいへ /履/
あのいほ /屧/
あのいれ /屜/
あのいろ /屩/
あのこむ /属/
あのてて /屛/
あのふくへ /骘/
あのふへ /鸤/
あのふれ /尿/
あのまきつ /騭/
あのも /尾/
あのれ /尻/
あはほ /櫽/
あはよよ /層/
あはるぬ /殿/
あひ /尼/
あひし /迡/
あひひ /屁/
あふにむ /屒/
あふれ /氶/
あふろ /局/
あへ /刄/子/孑/孒/孓/尺/
あへぁ /子/
あへあへ /孖/
あへあへへ /孨/
あへぃ /尺/
あへいむへ /孤/
あへぅ /刄/
あへうにつ /孮/
あへぇ /孑/
あへぉ /孒/
あへくこれ /孢/
あへこには /孭/
あへこはな /孾/
あへし /迟/
あへたひ /屍/
あへつ /孙/
あへつし /逊/遜/
あへつしぁ /遜/
あへつしぃ /逊/
あへのれつ /孫/
あへへえり /孺/
あへへへへ /孲/
あへむせ /屋/
あへむろ /孡/
あへゃ /孓/
あへやえ /屚/
あへゆめ /孜/
あへゆれい /孩/
あへよ /孴/
あへよへ /昼/
あへよゆさ /孻/
あへるは /孞/
あへれ /孔/
あへろは /咫/
あへわさ /孟/
あへん /尽/
あほ /杘/
あみふれ /承/
あむいま /斸/
あむり /劚/
あもあへ /屘/
あもなん /屗/
あやり /刷/
あゆあんゆ /歰/
あゆきし /遟/
あゆさき /屖/
あよいよつ /鷵/
あよこむ /螴/
あよせ /塦/
あよほ /檃/
ありみみ /屝/
ある /凥/
あれいもそ /鐆/
あれせ /墜/墬/
あれせぁ /墜/
あれせぃ /墬/
あれへ /丞/
あれへこれ /巹/
あれへせ /卺/
あれへた /脀/
あれへつ /烝/
あろ /召/叾/
あろぁ /召/
あろあ /卲/
あろあし /邵/
あろぃ /叾/
あろいよつ /鶋/
あろか /劭/
あろきし /避/
あろくい /欩/
あろこれ /巶/
あろし /迢/
あろぬこ /凾/
あろや /屌/
あろゆきつ /鸊/
あろゆさき /辟/
あろり /刟/剧/
あろりぁ /刟/
あろりぃ /剧/
あろれな /娿/
あわい /屃/
あわせ /届/
あをこ /屈/
あん /卪/
あんこむ /螱/
あんそい /熨/
あんのき /犚/
あんゆのむ /褽/
あんるは /慰/
い /人/亻/
いぁ /人/
いああへ /僝/
いあきろ /倨/
いあこ /佀/
いあささ /偋/
いあぬ /伋/
いあひ /伲/
いあふろ /侷/
いあへ /仔/仭/伬/
いあへぁ /仔/
いあへぃ /仭/
いあへぅ /伬/
いあへせ /偓/
いあへん /侭/
いあろ /佋/
いあろき /僻/
いあをこ /倔/
いあん /仞/
いぃ /亻/
いい /仌/从/
いいぁ /从/
いいぃ /仌/
いいい /众/
いいいき /傘/
いいいせ /侳/
いいきに /偱/
いいせ /伧/坐/
いいせぁ /坐/
いいせぃ /伧/
いいせくへ /夎/
いいたへ /俎/
いいつ /伱/燞/
いいつぁ /伱/
いいつぃ /燞/
いいては /俆/
いいてろ /倽/
いいとる /傂/
いいにむ /侩/
いいひ /伦/
いいへ /丛/
いいへこに /睂/
いいへせ /傋/
いいへつ /僬/
いいへへ /儁/
いいへりみ /耸/
いいま /伒/
いいまい /俽/
いいまは /儨/
いいも /佺/
いいゆへ /倠/
いいよつ /鳰/
いいり /价/
いいるは /怂/
いいを /佡/
いうあこ /倌/
いういせ /僿/
いういは /傧/
いうたせ /倇/
いうにつ /倧/
いうにる /俒/
いうはろ /傛/
いうひ /佗/
いうへ /伫/
いうへは /儐/
いうへれ /傢/
いうほ /俕/
いうま /佇/
いうも /侘/
いうるえ /倥/
いうるま /儜/
いうるろ /僒/
いうれな /侒/
いえ /丘/仜/仝/
いえぁ /丘/
いえあし /邱/
いえあひ /屔/
いえぃ /仜/
いえぅ /仝/
いえの /乒/
いえは /兵/
いえろい /偉/
いえを /岳/
いえん /乓/
いお /伐/
いおお /俴/
いおせ /垡/
いおのつ /傶/
いおへる /侥/
いおりみへ /韱/
いか /仂/
いかのも /俇/
いかろ /伽/
いき /什/仐/
いきぁ /什/
いきあ /厁/
いきぃ /仐/
いきい /佅/
いきいよつ /鶽/
いきこに /盾/
いきこは /貭/
いきこへ /值/
いきこれ /値/
いきさい /偾/
いきさは /僨/
いきた /俌/
いきたん /傅/
いきにし /遁/
いきぬ /伎/
いきふ /伟/
いきへい /债/
いきへつ /傃/
いきへは /債/僡/
いきへはぁ /債/
いきへはぃ /僡/
いきへむ /俵/
いきへゆ /倩/
いきへん /傳/
いきま /传/
いきゆる /儬/
いきよ /俥/
いきよい /倢/
いきよし /僆/
いきよめ /僌/
いきるは /憊/
いきろ /估/
いきろめ /做/
いきわ /伂/
いきわい /质/
いきわし /逓/
いきわへ /侼/
いきわむ /儾/
いくいろ /倃/
いくこは /偩/
いくこれ /佨/
いくたは /偬/
いくつ /你/
いくとよ /偺/
いくに /伆/
いくふせ /佹/
いくふろ /儋/
いくへい /佭/
いくへき /俻/
いくへろ /佫/
いくへん /佟/
いくよ /侚/
いくよの /鿇/
いくよる /俛/
いくよれ /像/
いくろ /佝/
いくろん /儳/
いくん /仢/伨/
いくんぁ /仢/
いくんぃ /伨/
いけあ /伶/
いけこい /倹/
いけたり /偷/
いけたれ /偸/
いけつへ /俭/
いけふ /仱/
いけふは /僋/
いけよよ /儈/
いけよろ /傖/
いけろ /佮/
いけろい /儉/
いけわさ /倫/
いこき /佃/
いこきか /侽/
いこきき /儡/
いこきつ /傫/儽/
いこきつぁ /傫/
いこきつぃ /儽/
いこきは /偲/
いこきむ /偎/
いこきろ /個/
いこくり /佛/
いここし /儙/
いここな /僂/
いこささ /僼/
いこさむ /儂/
いこし /仲/
いこにす /俱/倶/
いこにすぁ /倶/
いこにすぃ /俱/
いこにる /俔/
いこはに /儩/
いこはり /側/
いこひぬ /假/
いこへつ /烏/
いこや /伄/
いこゆは /僓/
いこりへ /儸/
いこりむ /儇/
いこる /伵/
いこれは /僎/
いころ /佪/
いさいへ /儺/
いさき /佯/
いさきろ /僐/
いさくき /僃/
いさこい /傼/
いさこた /儚/
いさこへ /僅/
いささ /併/
いささほ /僷/
いさすい /僛/
いさせえ /傞/
いさせせ /儀/
いさたつ /儰/
いさたり /偂/
いさなろ /偌/
いさに /佄/
いさにす /倛/
いさにる /偡/
いさのき /備/
いさは /供/
いさへは /僙/
いさへみ /傇/
いさへん /僔/
いさよ /借/
いさよは /傔/
いさよよ /傮/
いさりさ /傡/
いさるへ /偤/
いさるや /僀/
いされ /伳/
いされほ /偞/
いさろめ /儆/
いさわす /偀/
いし /个/込/进/
いしぁ /込/
いしぃ /个/
いしぅ /进/
いしにた /僩/
いしによ /僴/
いしへ /爪/
いしゆい /倐/
いしゆき /偹/鞗/
いしゆきぁ /偹/
いしゆきぃ /鞗/
いしゆす /倏/候/
いしゆすぁ /候/
いしゆすぃ /倏/
いしゆた /脩/
いしゆつ /儵/絛/鯈/
いしゆつぁ /絛/
いしゆつぃ /儵/
いしゆつぅ /鯈/
いしゆほ /條/
いしゆみ /修/
いしゆめ /攸/
いしゆん /翛/
いしよに /們/
いす /伏/
いすいい /俠/
いすきさ /倴/
いすこく /侇/
いすさ /侠/
いすそつ /僚/
いすそに /傄/
いすたた /偧/
いすにく /侉/
いすにつ /倷/
いすまろ /倚/
いすめめ /傸/
いすよれ /俺/
いせ /仓/仕/代/坓/
いせぁ /仕/
いせぃ /代/
いせぅ /仓/
いせぇ /坓/
いせえ /侙/
いせお /戗/
いせくめ /傲/
いせこ /伅/
いせこせつ /黛/
いせこには /貸/
いせこにる /覯/
いせこは /儥/
いせさき /倖/
いせせ /佳/垈/
いせせぁ /佳/
いせせぃ /垈/
いせせき /傤/
いせせよ /儎/
いせせる /僥/
いせなん /侍/
いせのき /牮/
いせのく /侤/
いせのひ /佬/
いせのふへ /鸧/
いせのへ /侾/
いせのよ /偖/
いせふこは /顜/
いせふん /儔/
いせほ /柋/
いせむ /佉/
いせや /帒/
いせゆのむ /袋/
いせよせつ /黛/
いせり /创/剉/
いせりぁ /创/
いせりぃ /剉/
いせるは /俧/
いせるへ /倰/
いせろ /佶/舎/
いせろぁ /舎/
いせろぃ /佶/
いせろせ /儓/
いせろろ /僖/
いせわい /贷/
いせわる /觏/
いせを /岱/
いせんき /斠/
いそあ /釕/釖/
いそあぁ /釖/
いそあぃ /釕/
いそあきろ /鋸/
いそあこ /鈻/
いそあしに /鐊/
いそあしむ /钃/
いそあしろ /錒/
いそあぬ /鈒/
いそあひ /鈮/
いそあふろ /鋦/
いそあへ /釨/釼/鈬/
いそあへぁ /釼/
いそあへぃ /鈬/
いそあへぅ /釨/
いそあへさ /錳/
いそあろ /鉊/
いそあろき /鐴/
いそい /伙/釞/
いそいぁ /伙/
いそいぃ /釞/
いそいい /倓/
いそいいせ /銼/
いそいえは /鋲/
いそいおへ /鑯/
いそいか /僗/
いそいきに /鍎/
いそいこつ /鎢/
いそいした /鏅/
いそいしへ /釽/
いそいしみ /鎀/
いそいそそ /鑫/
いそいつ /鉩/
いそいなん /鉜/
いそいひ /鈋/
いそいへき /鎨/
いそいへつ /鐎/
いそいへの /鎸/
いそいへへ /鐫/
いそいへほ /鏶/
いそいへろ /銗/
いそいほ /儝/銝/
いそいほぁ /儝/
いそいほぃ /銝/
いそいま /釿/
いそいまい /鍁/
いそいまは /鑕/
いそいみ /鉁/
いそいむへ /鈲/
いそいも /銋/銓/
いそいもぁ /銓/
いそいもぃ /銋/
いそいもそ /鍂/
いそいゆす /鍭/
いそいゆへ /錐/
いそいよつ /鵭/
いそいれ /倦/
いそうあこ /錧/
いそういい /鑳/
いそういよ /鏥/
いそうきろ /鎋/
いそうさん /鑧/
いそうたせ /鋺/
いそうたつ /鑔/
いそうなむ /鋐/
いそうにつ /錝/
いそうにる /鋎/
いそうはろ /鎔/
いそうひ /鉈/
いそうへい /錠/
いそうへは /鏔/鑌/
いそうへはぁ /鏔/
いそうへはぃ /鑌/
いそうへへ /鍹/
いそうへれ /鎵/
いそうるま /鑏/
いそうるれ /鑹/
いそうれな /銨/
いそえ /釭/
いそえのれ /銾/
いそえろい /鍏/
いそお /釮/鈛/
いそおぁ /釮/
いそおぃ /鈛/
いそおお /錢/
いそおく /鋮/
いそおの /龯/
いそおのつ /鏚/
いそおのへ /銊/
いそおのろ /鍼/
いそおれ /鉞/
いそか /釛/
いそかろ /鉫/
いそき /伞/伴/針/
いそきぁ /針/
いそきぃ /伴/
いそきぅ /伞/
いそきおさ /鐡/
いそきおも /鐵/
いそきこす /鎮/
いそきさは /鐼/
いそきた /鋪/
いそきたん /鎛/
いそきぬ /鈘/
いそきへた /錆/
いそきへは /鏸/
いそきへむ /錶/
いそきへゆ /錆/
いそきへん /鏄/
いそきよし /鏈/
いそきよま /鏩/
いそきよれ /錷/
いそきろ /鈷/
いそきろた /鍸/
いそきろる /鋴/
いそきわつ /鎍/
いそきわへ /鋍/
いそくい /欽/
いそくこよ /鑥/
いそくこれ /鉋/
いそくしし /鏠/
いそくたは /鍯/
いそくたれ /銫/
いそくつ /鉨/
いそくには /鍃/
いそくへし /鋒/
いそくへろ /鉻/
いそくへん /鉖/
いそくむ /鈎/
いそくもを /錎/
いそくゆこ /鋾/
いそくゆろ /鍧/
いそくよ /銁/
いそくよる /鋔/
いそくよれ /鐌/
いそくろ /鉤/
いそくろん /鑱/
いそくん /釣/鈞/
いそくんぁ /釣/
いそくんぃ /鈞/
いそけあ /鈴/
いそけたれ /鍮/
いそけふ /鈐/
いそけふは /錜/
いそけふろ /鋡/
いそけほわ /鏼/
いそけよろ /鎗/
いそけれほ /鎎/
いそけろ /鉿/
いそけろい /鐱/
いそけろお /鎿/
いそけろさ /鑰/
いそけわさ /錀/
いそこいさ /鎾/
いそこき /鈿/
いそこきき /鏎/鑘/
いそこききぁ /鏎/
いそこききぃ /鑘/
いそこきせ /鑸/
いそこきつ /鏍/
いそこきは /鍶/鏆/
いそこきはぁ /鍶/
いそこきはぃ /鏆/
いそこきむ /鍡/
いそこきり /鎅/
いそこきろ /錮/
いそこくし /鈏/
いそこくむ /鏹/
いそこくり /鉘/
いそここし /鋛/鑓/
いそここしぁ /鑓/
いそここしぃ /鋛/
いそここな /鏤/
いそこし /鈡/
いそこす /銦/
いそこせよ /鍲/
いそこに /鉬/
いそこにぬ /钁/
いそこには /鋇/
いそこにへ /鑺/
いそこにま /鐤/
いそこにる /鋧/
いそこの /俤/
いそこはり /鍘/
いそこひぬ /鍜/
いそこへん /鉧/
いそこむ /鉵/
いそこめ /鉂/
いそこや /鈟/
いそこゆは /鐀/
いそこよ /僧/
いそこりき /鐸/
いそこりは /鐨/
いそこりへ /鑼/
いそこりむ /鐲/鐶/
いそこりむぁ /鐶/
いそこりむぃ /鐲/
いそこりゆ /鎠/
いそこれ /釲/
いそこれせ /鈱/
いそこれは /鐉/
いそさあろ /鍣/
いそさいぬ /鑊/
いそさいひ /錵/
いそさおし /鑶/
いそさきろ /鐥/
いそさくし /鑝/
いそさけろ /鎝/
いそさこい /鑖/
いそさこき /錨/
いそささ /鉼/
いそささほ /鐷/
いそささよ /鐠/
いそさしそ /钄/
いそさしん /鑮/
いそさすし /鎹/
いそさすま /鐁/
いそさせえ /鎈/
いそさせさ /鑉/
いそさせす /鎂/
いそさせよ /鐯/
いそさせる /錓/
いそさため /鏾/
いそさたり /鎆/
いそさなろ /鍩/
いそさに /鉗/
いそさにす /錤/
いそさにる /鍖/
いそさは /鉷/
いそさはさ /鎰/
いそさへき /鏵/
いそさへは /鐄/
いそさへん /鐏/
いそさめ /銰/
いそさやい /鏋/
いそさゆく /錺/
いそさゆれ /鋩/
いそさよ /錯/
いそさよす /鏌/
いそさよは /鎌/
いそさよよ /鏪/
いそされ /鉪/
いそされし /鐩/
いそされほ /鍱/
いそされむ /鎡/
いそさろへ /鑵/
いそさわす /鍈/
いそさをた /鎙/
いそしいれ /鎃/
いそしせむ /鍅/
いそしにさ /鐦/
いそしにそ /鑭/
いそしにた /鐗/
いそしによ /鐧/
いそしふん /鏘/
いそしよに /鍆/鐋/
いそしよにぁ /鍆/
いそしよにぃ /鐋/
いそす /釱/
いそすいい /鋏/
いそすきさ /錛/
いそすこく /銕/
いそすせせ /鍷/
いそすそつ /鐐/
いそすにく /銙/
いそすにつ /錼/
いそすまろ /錡/
いそすめめ /鏯/
いそすわ /鈵/
いそすん /鈦/
いそせ /釴/釷/
いそせぁ /釴/
いそせぃ /釷/
いそせえ /鉽/
いそせきし /鐽/
いそせこ /鈊/
いそせこは /鑟/
いそせせ /銈/
いそせせる /鐃/
いそせのく /銬/
いそせのひ /銠/
いそせのよ /鍺/
いそせふん /鑄/
いそせむ /鉣/
いそせむさ /鎑/
いそせるせ /錴/
いそせるは /鋕/鋱/
いそせるはぁ /鋕/
いそせるはぃ /鋱/
いそせるへ /錂/
いそせろ /銡/
いそせろむ /鎱/
いそそい /鈥/
いそそいい /錟/
いそそいか /鐒/
いそそいほ /鑅/
いそそこの /銻/
いそそほ /銤/
いそそほい /鏻/
いそそろる /鋭/
いそた /釸/鈅/
いそたぁ /釸/
いそたあへ /鋢/
いそたぃ /鈅/
いそたた /鉹/錋/
いそたたぁ /鉹/
いそたたぃ /錋/
いそたてぬ /鍰/
いそたなん /鋝/
いそたのに /鎇/
いそたへ /鉏/
いそたへか /鋤/
いそたゆこ /鎐/
いそたよの /錚/
いそたれ /鈀/
いそたれな /鋖/
いそたろ /銘/
いそたわへ /鑀/
いそち /釺/
いそちさへ /錘/
いそちにつ /鑂/
いそちもを /鍤/
いそちよに /鍾/
いそちろ /銛/
いそつ /釥/釧/
いそつぁ /釧/
いそつぃ /釥/
いそつこき /錙/
いそつこは /鎖/鎻/
いそつこはぁ /鎖/
いそつこはぃ /鎻/
いそつこれ /鑞/
いそつた /銷/
いそつの /鈔/
いそつへき /鍿/
いそつへる /銧/
いそつよほ /鏁/
いそつわお /鐣/
いそつわき /鐺/
いそつわせ /鏜/
いそつわつ /钂/
いそつわは /鑜/
いそつわほ /鏿/
いそつわや /鏛/
いそつわる /鎲/
いそつわろ /鋿/
いそて /釪/釬/
いそてぁ /釪/
いそてぃ /釬/
いそてて /銒/
いそと /釙/
いそとこは /鍞/
いそとこん /鏀/
いそとせお /鎼/
いそとせか /鐪/
いそとせさ /鑪/
いそとせな /鏬/
いそとせは /鑢/
いそとせる /錿/
いそとせれ /鐻/
いそとぬ /鈙/
いそとへと /鉲/
いそとます /钀/
いそとゆこ /鑡/
いそとゆた /錹/
いそとゆの /鐬/
いそとよき /鋽/
いそとろ /鉆/
いそなえ /銶/
いそなしへ /銌/
いそなた /銪/
いそなむ /鈜/
いそなめ /鈸/
いそなや /鈽/
いそにい /鈇/
いそにいは /鑚/
いそにいよ /鐟/
いそにく /釫/
いそにつへ /鎺/
いそにのれ /銢/
いそにる /鈨/
いそぬぬぬ /錣/
いそぬぬほ /鎟/
いそぬん /釵/
いそのあ /鈩/
いそのあさ /鍽/
いそのあす /錑/
いそのいい /鏦/
いそのおせ /鋨/
いそのき /鈝/
いそのきい /銖/
いそのきへ /鉎/
いそのこし /鎚/
いそのすろ /鐈/
いそのせる /銑/
いそのせろ /鋯/
いそのたは /鏓/
いそのなき /錊/
いそのにい /鉄/
いそのには /鎴/
いそのにほ /鎳/
いそののえ /鑗/
いそのほ /鉌/
いそのほい /鍬/
いそのほす /鐭/
いそのほな /錗/
いそのほの /銹/
いそのほり /鋓/
いそのほる /鋵/
いそのめひ /鎞/
いそのめへ /鎫/
いそのゆへ /鋋/
いそのよ /鉑/
いそのよも /鍠/
いそのよや /錦/
いそのりほ /鏫/
いそのるは /鑽/
いそのれ /釚/
いそのれよ /錔/鑙/
いそのれよぁ /錔/
いそのれよぃ /鑙/
いそのれん /釻/
いそのわの /銵/
いそのわろ /銄/
いそは /釟/
いそはあ /鈖/
いそはいせ /錈/
いそはいろ /鋊/
いそはき /鉡/
いそはむ /鈆/
いそはむん /鎓/
いそはよよ /鏳/
いそはろ /鉛/
いそはろる /銳/
いそひあき /鎦/
いそひけさ /鑑/
いそひける /鑬/
いそひこ /鉅/
いそひこは /鎭/鑎/
いそひこはぁ /鎭/
いそひこはぃ /鑎/
いそひせよ /錉/
いそひせろ /銽/
いそひぬせ /鏗/
いそひぬは /鑦/
いそひのあ /鉚/
いそひのし /鋣/
いそひのの /釾/
いそひひ /鈚/
いそひひよ /鍇/
いそひや /鉔/
いそひるよ /鐕/
いそひろ /鉕/
いそひろろ /鏂/
いそふこは /顉/
いそふさい /鐝/
いそふせ /鈕/鈪/
いそふせぁ /鈕/
いそふせぃ /鈪/
いそふつ /偽/
いそふと /鈈/
いそふとき /銔/
いそふとへ /鉟/
いそふにむ /鋠/
いそふぬ /鈑/
いそふへろ /鉰/
いそふむん /鎒/
いそふめ /釰/
いそふよ /銆/
いそふろ /鉐/
いそふんへ /鑃/
いそふんみ /鏐/
いそへえき /鐳/
いそへえり /鑐/
いそへえろ /鋙/
いそへこき /鐂/鐔/
いそへこきぁ /鐔/
いそへこきぃ /鐂/
いそへこつ /鏢/
いそへさ /鈃/
いそへさり /鉶/
いそへせむ /銩/
いそへせゆ /錻/
いそへそぬ /鋄/
いそへそへ /錽/
いそへつえ /鋞/
いそへとく /鈣/
いそへとゆ /鉦/
いそへはめ /鑈/
いそへへは /鐚/
いそへへへ /錏/
いそへみし /鎁/
いそへみぬ /鋷/
いそへみみ /鑷/
いそへみれ /銸/
いそへむせ /銍/
いそへりみ /鉺/
いそへろき /鍢/
いそへろさ /鋀/
いそへろま /鎘/
いそへろろ /鑩/
いそほ /侎/籴/鈢/鉥/
いそほぁ /侎/
いそほぃ /籴/
いそほい /僯/
いそほいい /錸/
いそほぅ /鈢/
いそほぇ /鉥/
いそほこ /鋉/
いそほこい /鏉/
いそほこそ /鍊/
いそほつ /錰/
いそほな /偻/
いそほへ /鉢/
いそほめお /鑻/
いそほよ /錬/
いそま /釘/
いそまきつ /鎷/
いそまのほ /鍒/
いそまのろ /鐊/
いそまろ /鈳/
いそまろろ /鎶/
いそまわき /銿/
いそみ /釤/
いそみあす /鍥/
いそみしよ /鏏/
いそみせ /銭/
いそみつ /銇/
いそみのん /鋳/
いそむのき /鉾/
いそむむみ /鏒/
いそむる /鈗/
