;; 漢字入力方式「葦手入力」
;; https://ashide.otodo.net/
;;
;; 葦手入力 第5版 を変換したSKK辞書です。
;; http://ashide.otodo.net/files/050/ashide050.txt
;;
;; IME用葦手入力辞書(Japanese IME dictionary of Ashide Input)
;; Made by Haruakira NAKAYAMA in Japan
;; Version 5.0 in 2021年12月10日
;;
;; 利用・改変・再配布は自由です。
;;
;; okuri-ari entries.
;; okuri-nasi entries.
あ /了/
あああ /刕/
あああた /脋/
あいせ /坠/
あいよつ /鳭/
あえこ /函/
あくせ /埅/
あこふこは /顄/
あこるん /兔/
あさか /勐/
あし /辺/辽/阝/
あしぁ /辺/
あしぃ /辽/
あしい /队/阱/
あしいぁ /队/
あしいぃ /阱/
あしいこつ /隖/
あしいこれ /阸/
あしいては /除/
あしいなん /附/
あしいもむ /隂/
あしいゆへ /陮/
あしいよつ /隝/
あしいり /阶/
あしぅ /阝/
あしうにる /院/
あしうひ /陀/
あしおのな /隇/
あしか /阞/
あしかれ /阤/
あしかろき /隦/
あしきこ /陆/
あしきさは /隫/
あしきた /陠/
あしきよ /陣/
あしくしよ /陥/
あしくそほ /陱/
あしくとこ /陶/
あしくふや /陒/
あしくへい /降/
あしくへへ /隆/
あしくもを /陷/
あしくよそ /隐/
あしけあ /阾/
あしけこい /険/
あしけたれ /隃/
あしけつへ /险/
あしけふむ /陰/
あしけろい /險/
あしけわさ /陯/
あしこきむ /隈/
あしこゆは /隤/
あしさくれ /隊/
あしさはさ /隘/
あしさよは /隒/
あしされし /隧/
あしすいい /陜/陝/
あしすいいぁ /陜/
あしすいいぃ /陝/
あしすえ /陉/
あしすさ /陕/
あしすにく /陓/
あしすまろ /陭/
あしすみぬ /陬/
あしすわ /陃/
あしすわれ /陋/
あしせくめ /隞/
あしせせる /隢/
あしせとい /陡/
あしせのよ /陼/
あしせふん /隯/
あしせむ /阹/
あしせるせ /陸/
あしせるへ /陵/
あしそい /阦/
あしそほい /隣/
あした /阴/
あしたえそ /隱/
あしたた /陊/
あしたへ /阻/
あしたまつ /際/
あしたよそ /隠/
あしち /阡/
あしちせへ /陲/
あしちよに /隀/
あしつた /陗/
あしつのつ /隲/
あしつよつ /隙/
あしつよほ /隟/
あしつわせ /隚/
あしとかれ /陁/
あしとさお /隵/
あしとひ /阼/
あしとゆ /阯/
あしとゆの /陟/
あしとれ /阣/
あしとろ /阽/
あしなええ /隓/
あしなえた /隋/
あしなき /陇/
あしなた /陏/
あしなたし /随/隨/
あしなたしぁ /随/
あしなたしぃ /隨/
あしなほ /陈/
あしにつ /际/
あしにる /阮/
あしのきい /陎/
あしのこき /陴/
あしのこむ /隗/
あしのさ /阩/
あしのさせ /陞/
あしのさよ /陹/
あしのふれ /阥/
あしのよも /隍/
あしのわす /隩/
あしひきへ /阺/
あしひすい /陿/
あしひひ /阰/
あしひひせ /陛/
あしひひよ /階/
あしひよな /隁/
あしふと /阫/
あしふにむ /陙/
あしふぬ /阪/
あしふや /阨/
あしふよ /陌/
あしふわす /陾/
あしふわり /陑/
あしへえり /隭/
あしへきゆ /陚/
あしへつえ /陘/
あしへとゆ /阷/
あしへはめ /隬/
あしへる /阢/
あしへるせ /陻/
あしへれき /阵/
あしへろま /隔/
あしほよ /陳/
あしほよめ /敶/
あしまろ /阿/
あしみのん /陦/
あしむる /阭/
あしむるへ /陖/
あしもをせ /隉/
あしやのぬ /陂/
あしゆあに /隮/
あしゆく /防/
あしゆさき /障/
あしゆさよ /隌/
あしゆさろ /陪/
あしゆたみ /隴/
あしゆめへ /隡/
あしゆる /阬/
あしゆれい /陔/
あしよ /阳/
あしよせ /陧/
あしよへい /隄/
あしよへに /陽/
あしよむ /限/
あしよれつ /隰/
あしよわむ /隅/
あしりみみ /陫/
あしれき /阠/
あしれむつ /綤/
あしろこは /隕/
あしろわい /陨/
あしをしさ /隥/
あしをへさ /隑/
あしんき /阧/
あそほ /櫽/
あたいのつ /隳/
あたせ /堕/墮/
あたせぁ /堕/
あたせぃ /墮/
あたを /嶞/
あつるそ /愻/
あぬ /及/
あぬつ /焏/
あのふくへ /骘/
あのまきつ /騭/
あは /刅/
あふれ /氶/
あへ /刄/子/孑/孒/孓/
あへぁ /子/
あへあへ /孖/
あへあへへ /孨/
あへあへよ /孴/
あへぃ /刄/
あへいむへ /孤/
あへぅ /孑/
あへうにつ /孮/
あへぇ /孒/
あへぉ /孓/
あへくこれ /孢/
あへこには /孭/
あへこはな /孾/
あへつ /孙/
あへつし /逊/遜/
あへつしぁ /遜/
あへつしぃ /逊/
あへとめ /孜/
あへのれつ /孫/
あへへえり /孺/
あへへへへ /孲/
あへむろ /孡/
あへゆれい /孩/
あへよゆさ /孻/
あへるそ /孞/
あへれ /孔/
あへわさ /孟/
あみふれ /承/
あゆあんゆ /歰/
あよこむ /螴/
あよせ /塦/
あよほ /檃/
あれいもそ /鐆/
あれせ /墜/墬/
あれせぁ /墜/
あれせぃ /墬/
あれへ /丞/
あれへこれ /巹/
あれへた /脀/
あれへつ /烝/
あれへや /卺/
あろ /召/叾/
あろぁ /召/
あろあ /卲/
あろあし /邵/
あろぃ /叾/
あろか /劭/
あろくい /欩/
あろこれ /巶/
あろし /迢/
あろぬこ /凾/
あろり /刟/
あろれな /娿/
あん /卪/
い /人/亻/
いぁ /人/
いあぬ /伋/
いあは /刱/
いあへ /仔/仭/
いあへぁ /仔/
いあへぃ /仭/
いあろ /佋/
いあん /仞/
いぃ /亻/
いい /仌/从/
いいぁ /从/
いいぃ /仌/
いいい /众/
いいいき /傘/
いいいせ /侳/
いいきに /偱/
いいこさ /偏/
いいこに /傓/
いいこへ /僱/
いいすみ /耸/
いいせ /坐/
いいせくへ /夎/
いいたへ /俎/
いいちろ /倽/
いいつ /伱/燞/
いいつぁ /伱/
いいつぃ /燞/
いいては /俆/
いいとる /傂/
いいにむ /侩/
いいひ /伦/
いいへ /丛/
いいへせ /傋/
いいへつ /僬/
いいへへ /儁/
いいま /伒/
いいまい /俽/
いいまは /儨/
いいも /佺/
いいや /伧/
いいゆへ /倠/
いいよつ /鳰/
いいり /价/
いいるそ /怂/
いいを /佡/
いういせ /僿/
いういは /傧/
いうかこ /倌/
いうたや /倇/
いうにつ /倧/
いうにる /俒/
いうはろ /傛/
いうひ /佗/
いうへ /伫/
いうへれ /傢/
いうほ /俕/
いうま /佇/
いうまは /儐/
いうも /侘/
いうるえ /倥/
いうるま /儜/
いうるろ /僒/
いうれな /侒/
