;; https://www.unicode.org/ivd/data/2007-12-14/IVD_Sequences.txt
;; Copyright 2006-2012 Unicode, Inc.
;;
;; okuri-ari entries.
;; okuri-nasi entries.
㐂 /㐂󠄀;U+3402 U+E0100, Adobe-Japan1 CID+13698/㐂󠄁;U+3402 U+E0101, Adobe-Japan1 CID+13697/㐂󠄂;U+3402 U+E0102, Adobe-Japan1 CID+13699/
㐅 /㐅󠄀;U+3405 U+E0100, Adobe-Japan1 CID+15387/
㐆 /㐆󠄀;U+3406 U+E0100, Adobe-Japan1 CID+17242/
㐧 /㐧󠄀;U+3427 U+E0100, Adobe-Japan1 CID+13910/
㐬 /㐬󠄀;U+342C U+E0100, Adobe-Japan1 CID+17246/
㐮 /㐮󠄀;U+342E U+E0100, Adobe-Japan1 CID+14216/
㑨 /㑨󠄀;U+3468 U+E0100, Adobe-Japan1 CID+14047/
㑪 /㑪󠄀;U+346A U+E0100, Adobe-Japan1 CID+17269/
㒈 /㒈󠄀;U+3488 U+E0100, Adobe-Japan1 CID+15442/
㒒 /㒒󠄀;U+3492 U+E0100, Adobe-Japan1 CID+17294/
㒵 /㒵󠄀;U+34B5 U+E0100, Adobe-Japan1 CID+16793/
㒼 /㒼󠄀;U+34BC U+E0100, Adobe-Japan1 CID+17303/
㓁 /㓁󠄀;U+34C1 U+E0100, Adobe-Japan1 CID+18384/
㓇 /㓇󠄀;U+34C7 U+E0100, Adobe-Japan1 CID+17307/
㓛 /㓛󠄀;U+34DB U+E0100, Adobe-Japan1 CID+15425/
㔟 /㔟󠄀;U+351F U+E0100, Adobe-Japan1 CID+13865/
㔾 /㔾󠄀;U+353E U+E0100, Adobe-Japan1 CID+14110/
㕝 /㕝󠄀;U+355D U+E0100, Adobe-Japan1 CID+17341/
㕞 /㕞󠄀;U+355E U+E0100, Adobe-Japan1 CID+17342/
㕣 /㕣󠄀;U+3563 U+E0100, Adobe-Japan1 CID+17344/
㕮 /㕮󠄀;U+356E U+E0100, Adobe-Japan1 CID+17348/
㖦 /㖦󠄀;U+35A6 U+E0100, Adobe-Japan1 CID+17369/
㖨 /㖨󠄀;U+35A8 U+E0100, Adobe-Japan1 CID+17371/
㗅 /㗅󠄀;U+35C5 U+E0100, Adobe-Japan1 CID+17377/
㗚 /㗚󠄀;U+35DA U+E0100, Adobe-Japan1 CID+17386/
㗞 /㗞󠄀;U+35DE U+E0100, Adobe-Japan1 CID+20067/
㗴 /㗴󠄀;U+35F4 U+E0100, Adobe-Japan1 CID+17395/
㘅 /㘅󠄀;U+3605 U+E0100, Adobe-Japan1 CID+17402/
㘔 /㘔󠄀;U+3614 U+E0100, Adobe-Japan1 CID+19131/
㙊 /㙊󠄀;U+364A U+E0100, Adobe-Japan1 CID+17441/
㚑 /㚑󠄀;U+3691 U+E0100, Adobe-Japan1 CID+17473/
㚖 /㚖󠄀;U+3696 U+E0100, Adobe-Japan1 CID+17477/
㚙 /㚙󠄀;U+3699 U+E0100, Adobe-Japan1 CID+17475/
㛏 /㛏󠄀;U+36CF U+E0100, Adobe-Japan1 CID+17494/
㝡 /㝡󠄀;U+3761 U+E0100, Adobe-Japan1 CID+17528/
㝢 /㝢󠄀;U+3762 U+E0100, Adobe-Japan1 CID+17529/
㝫 /㝫󠄀;U+376B U+E0100, Adobe-Japan1 CID+17533/
㝬 /㝬󠄀;U+376C U+E0100, Adobe-Japan1 CID+17532/
㝵 /㝵󠄀;U+3775 U+E0100, Adobe-Japan1 CID+17536/
㞍 /㞍󠄀;U+378D U+E0100, Adobe-Japan1 CID+13850/
㟁 /㟁󠄀;U+37C1 U+E0100, Adobe-Japan1 CID+17550/
㟢 /㟢󠄀;U+37E2 U+E0100, Adobe-Japan1 CID+14123/
㟨 /㟨󠄀;U+37E8 U+E0100, Adobe-Japan1 CID+17570/
㟴 /㟴󠄀;U+37F4 U+E0100, Adobe-Japan1 CID+17573/
㟽 /㟽󠄀;U+37FD U+E0100, Adobe-Japan1 CID+17576/
㠀 /㠀󠄀;U+3800 U+E0100, Adobe-Japan1 CID+17578/
㠯 /㠯󠄀;U+382F U+E0100, Adobe-Japan1 CID+17588/
㠶 /㠶󠄀;U+3836 U+E0100, Adobe-Japan1 CID+17589/
㡀 /㡀󠄀;U+3840 U+E0100, Adobe-Japan1 CID+17590/
㡜 /㡜󠄀;U+385C U+E0100, Adobe-Japan1 CID+17594/
㡡 /㡡󠄀;U+3861 U+E0100, Adobe-Japan1 CID+17596/
㢡 /㢡󠄀;U+38A1 U+E0100, Adobe-Japan1 CID+20171/
㢭 /㢭󠄀;U+38AD U+E0100, Adobe-Japan1 CID+19132/
㣺 /㣺󠄀;U+38FA U+E0100, Adobe-Japan1 CID+13852/
㤗 /㤗󠄀;U+3917 U+E0100, Adobe-Japan1 CID+17625/
㤚 /㤚󠄀;U+391A U+E0100, Adobe-Japan1 CID+17628/
㥯 /㥯󠄀;U+396F U+E0100, Adobe-Japan1 CID+17643/
㦤 /㦤󠄀;U+39A4 U+E0100, Adobe-Japan1 CID+20122/
㦸 /㦸󠄀;U+39B8 U+E0100, Adobe-Japan1 CID+20123/
㩜 /㩜󠄀;U+3A5C U+E0100, Adobe-Japan1 CID+20127/
㩮 /㩮󠄀;U+3A6E U+E0100, Adobe-Japan1 CID+17713/
㩳 /㩳󠄀;U+3A73 U+E0100, Adobe-Japan1 CID+17716/
㪅 /㪅󠄀;U+3A85 U+E0100, Adobe-Japan1 CID+20142/
㫄 /㫄󠄀;U+3AC4 U+E0100, Adobe-Japan1 CID+20135/
㫋 /㫋󠄀;U+3ACB U+E0100, Adobe-Japan1 CID+20136/
㫖 /㫖󠄀;U+3AD6 U+E0100, Adobe-Japan1 CID+17731/
㫗 /㫗󠄀;U+3AD7 U+E0100, Adobe-Japan1 CID+17758/
㫪 /㫪󠄀;U+3AEA U+E0100, Adobe-Japan1 CID+17741/
㫳 /㫳󠄀;U+3AF3 U+E0100, Adobe-Japan1 CID+15424/
㬎 /㬎󠄀;U+3B0E U+E0100, Adobe-Japan1 CID+17752/
㬚 /㬚󠄀;U+3B1A U+E0100, Adobe-Japan1 CID+17756/
㬜 /㬜󠄀;U+3B1C U+E0100, Adobe-Japan1 CID+17757/
㬢 /㬢󠄀;U+3B22 U+E0100, Adobe-Japan1 CID+15433/
㭭 /㭭󠄀;U+3B6D U+E0100, Adobe-Japan1 CID+17804/
㭷 /㭷󠄀;U+3B77 U+E0100, Adobe-Japan1 CID+17797/
㮇 /㮇󠄀;U+3B87 U+E0100, Adobe-Japan1 CID+17826/
㮈 /㮈󠄀;U+3B88 U+E0100, Adobe-Japan1 CID+13965/
㮍 /㮍󠄀;U+3B8D U+E0100, Adobe-Japan1 CID+17828/
㮤 /㮤󠄀;U+3BA4 U+E0100, Adobe-Japan1 CID+17834/
㮶 /㮶󠄀;U+3BB6 U+E0100, Adobe-Japan1 CID+16910/
㯃 /㯃󠄀;U+3BC3 U+E0100, Adobe-Japan1 CID+16911/
㯍 /㯍󠄀;U+3BCD U+E0100, Adobe-Japan1 CID+17848/
㯰 /㯰󠄀;U+3BF0 U+E0100, Adobe-Japan1 CID+17865/
㯳 /㯳󠄀;U+3BF3 U+E0100, Adobe-Japan1 CID+20151/
㰏 /㰏󠄀;U+3C0F U+E0100, Adobe-Japan1 CID+16919/
㰦 /㰦󠄀;U+3C26 U+E0100, Adobe-Japan1 CID+17887/
㳃 /㳃󠄀;U+3CC3 U+E0100, Adobe-Japan1 CID+17916/
㳒 /㳒󠄀;U+3CD2 U+E0100, Adobe-Japan1 CID+17921/
㴑 /㴑󠄀;U+3D11 U+E0100, Adobe-Japan1 CID+17957/
㴞 /㴞󠄀;U+3D1E U+E0100, Adobe-Japan1 CID+17968/
㴱 /㴱󠄀;U+3D31 U+E0100, Adobe-Japan1 CID+20158/
㵎 /㵎󠄀;U+3D4E U+E0100, Adobe-Japan1 CID+7655/
㵤 /㵤󠄀;U+3D64 U+E0100, Adobe-Japan1 CID+17994/
㶚 /㶚󠄀;U+3D9A U+E0100, Adobe-Japan1 CID+18008/
㷀 /㷀󠄀;U+3DC0 U+E0100, Adobe-Japan1 CID+18026/
㷌 /㷌󠄀;U+3DCC U+E0100, Adobe-Japan1 CID+19133/
㷔 /㷔󠄀;U+3DD4 U+E0100, Adobe-Japan1 CID+18031/
㸅 /㸅󠄀;U+3E05 U+E0100, Adobe-Japan1 CID+18043/
㸿 /㸿󠄀;U+3E3F U+E0100, Adobe-Japan1 CID+16968/
㹀 /㹀󠄀;U+3E40 U+E0100, Adobe-Japan1 CID+20170/
㹠 /㹠󠄀;U+3E60 U+E0100, Adobe-Japan1 CID+18059/
㹦 /㹦󠄀;U+3E66 U+E0100, Adobe-Japan1 CID+18061/
㹨 /㹨󠄀;U+3E68 U+E0100, Adobe-Japan1 CID+18062/
㺃 /㺃󠄀;U+3E83 U+E0100, Adobe-Japan1 CID+18069/
㺊 /㺊󠄀;U+3E8A U+E0100, Adobe-Japan1 CID+15427/
㺔 /㺔󠄀;U+3E94 U+E0100, Adobe-Japan1 CID+18075/
㻚 /㻚󠄀;U+3EDA U+E0100, Adobe-Japan1 CID+15432/
㽗 /㽗󠄀;U+3F57 U+E0100, Adobe-Japan1 CID+18123/
㽲 /㽲󠄀;U+3F72 U+E0100, Adobe-Japan1 CID+16984/
㽵 /㽵󠄀;U+3F75 U+E0100, Adobe-Japan1 CID+18137/
